Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Earth_Moon
504.9513687960915,149.8225157541951,524.0526491896013,2238.566770906198,4702.591389464477,10328.41677019955,15062.86353351637,1.290541146861439
494.6133693672955,148.5847574397225,520.6308677746061,2232.296414764919,4695.673901931159,10324.57229146702,15054.74781772162,1.278628998180901
484.3235807669718,147.4879962741051,517.2212736327676,2226.113571027965,4688.838066416085,10320.60873527363,15046.59697193648,1.266611355032362
474.1071657259865,146.5357540557557,513.823980113167,2220.019811121035,4682.086048265332,10316.5273124669,15038.41355558475,1.254700896771775
463.9867150854946,145.7312291519923,510.4390709415479,2214.017103922559,4675.419916808467,10312.32922681919,15030.20014738901,1.243255099685474
453.9825610362564,145.0772458944871,507.0665923035229,2208.107949019618,4668.841680676914,10308.0157650983,15021.95912841748,1.232822177713654
444.1130858265572,144.5762036102494,503.7065457382192,2202.293897372368,4662.353252591395,10303.58819691171,15013.69264093402,1.224138160655348
434.395017801365,144.2300264372438,500.3588830207137,2196.577136160781,4655.956425243715,10299.04774860535,15005.40275672055,1.218061003437133
424.8437095760052,144.0401159184973,497.0235046962558,2190.959011069197,4649.652932949716,10294.3957285318,14997.0916730386,1.215442111008391
415.4733960314935,144.0073097155155,493.7002639611742,2185.441594560433,4643.44449436586,10289.6333426737,14988.76173086873,1.21695659272856
406.2974325857944,144.1318510653718,490.3889767290487,2180.025969532222,4637.332796032805,10284.76176781804,14980.41523939241,1.222934239195989
397.3285162856898,144.4133738033213,487.0894369796811,2174.71388966432,4631.319565087712,10279.78213204076,14972.05429852886,1.233242004307818
388.5788929179581,144.8509061064651,483.8014345958853,2169.507534768009,4625.406516511498,10274.69552087771,14963.68081731028,1.24725650913893
380.0605523020608,145.4428929138061,480.5247719636299,2164.408505534527,4619.595436658164,10269.50309984203,14955.29672593735,1.263934695764781
371.7854118807036,146.1872337138951,477.2592762554803,2159.418958871285,4613.888177271382,10264.20595106066,14946.90417718638,1.281958058883733
363.7654868549727,147.0813305920954,474.0048061003932,2154.54033060228,4608.286611543897,10258.8052097214,14938.50554233783,1.299907850569043
356.0130442113453,148.1221415523608,470.7612531972167,2149.774932033951,4602.792622242982,10253.30207995379,14930.10321503531,1.316430728176563
348.5407380320962,149.30623549049,467.5285405270558,2145.12391347105,4597.408117491539,10247.69776584395,14921.69943190496,1.330369288493938
341.3617239369612,150.6298467785077,464.3066190097521,2140.589235344802,4592.134987744524,10241.99355725107,14913.29629664053,1.340848673205055
334.4897508734118,152.0889285789142,461.0954640560838,2136.173023273351,4586.975139598136,10236.1906962502,14904.89598104129,1.347321849515094
